ID;UNIDADE ESPORTIVA;TIPO;TIPO ADMINISTRACAO;SITUACAO;PREFEITURA REGIONAL;DISTRITO;EQUIPAMENTOS;QUANTIDADE DE EQUIPAMENTOS DA UNIDADE
233;CEL JOSE BONIFACIO;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;ITAQUERA;JOSE BONIFACIO;SALA MULTIUSO 4;1
234;CEL JOSE BONIFACIO;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;ITAQUERA;JOSE BONIFACIO;SALA MULTIUSO 5;1
235;CEL JOSE BONIFACIO;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;ITAQUERA;JOSE BONIFACIO;SALA MULTIUSO 3;1
236;CEL JUSCELINO KUBITSCHEK;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;CIDADE TIRADENTES;CIDADE TIRADENTES;GINASIO POLIESPORTIVO;1
237;CEL JUSCELINO KUBITSCHEK;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;CIDADE TIRADENTES;CIDADE TIRADENTES;QUADRA POLIESPORTIVA;1
238;CEL JUSCELINO KUBITSCHEK;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;CIDADE TIRADENTES;CIDADE TIRADENTES;SALA MULTIUSO;1
239;CEL JUSCELINO KUBITSCHEK;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;CIDADE TIRADENTES;CIDADE TIRADENTES;SALA MULTIUSO 2;1
240;CEL MODELODROMO DO IBIRAPUERA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA MARIANA;MOEMA;TANQUE DE NAUTIMODELISMO;1
241;CEL MODELODROMO DO IBIRAPUERA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA MARIANA;MOEMA;AREA LIVRE;1
242;CEL MODELODROMO DO IBIRAPUERA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA MARIANA;MOEMA;ESPACO PET/CACHORRODROMO;1
243;CEL MODELODROMO DO IBIRAPUERA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA MARIANA;MOEMA;PISTA DE FERROMODELISMO;1
244;CEL MODELODROMO DO IBIRAPUERA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA MARIANA;MOEMA;PISTA DE AEROMODELISMO;1
245;CEL PADRE  JOSE DE ANCHIETA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PENHA;ARTUR ALVIM;SALA MULTIUSO 2;1
246;CEL PADRE  JOSE DE ANCHIETA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PENHA;ARTUR ALVIM;CAMPO DE FUTEBOL;1
247;CEL PADRE  JOSE DE ANCHIETA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PENHA;ARTUR ALVIM;SALA MULTIUSO;5
248;CEL PADRE  JOSE DE ANCHIETA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PENHA;ARTUR ALVIM;PLAY GROUND;1
249;CEL PADRE  JOSE DE ANCHIETA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PENHA;ARTUR ALVIM;QUADRA POLIESPORTIVA;1
250;CEL PADRE  JOSE DE ANCHIETA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PENHA;ARTUR ALVIM;GINASIO POLIESPORTIVO;1
251;CEL PERUS;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PERUS;PERUS;SALA MULTIUSO;2
252;CEL PERUS;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;PERUS;PERUS;CAMPO DE FUTEBOL;1
253;CEL TEOTONIO VILELA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA PRUDENTE;SAPOPEMBA;CAMPO DE FUTEBOL;1
254;CEL TEOTONIO VILELA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA PRUDENTE;SAPOPEMBA;PLAY GROUND;2
255;CEL TEOTONIO VILELA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA PRUDENTE;SAPOPEMBA;QUADRA POLIESPORTIVA;1
256;CEL TEOTONIO VILELA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA PRUDENTE;SAPOPEMBA;GINASIO POLIESPORTIVO;1
257;CEL TEOTONIO VILELA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA PRUDENTE;SAPOPEMBA;SALA MULTIUSO;1
258;CEL TEOTONIO VILELA;CENTRO DE ESPORTE E LAZER;DIRETA;ATIVA;VILA PRUDENTE;SAPOPEMBA;ESTACAO DE EXERCICIOS;1
259;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;PISTA DE ATLETISMO;1
260;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;HALF (SKATE);1
261;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;AREA LIVRE;4
262;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;PISTA DE BANKS;1
263;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;ESTACAO DE EXERCICIOS;1
264;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;PLAY GROUND;1
265;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;PISTA DE STREET PLAZA;1
266;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;PISTA DE BOWL;1
267;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;CICLOVIA;1
268;CENTRO DE ESPORTES RADICAIS;CENTRO ESPORTIVO;DIRETA;ATIVA;SE;BOM RETIRO;PISTA DE PUMP TRACK;3
269;CENTRO ESPORTIVO NAUTICO GUARAPIRANGA;CENTRO ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;CANCHA DE BOCHA;1
270;CENTRO ESPORTIVO NAUTICO GUARAPIRANGA;CENTRO ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;CAMPO DE FUTEBOL;2
271;CENTRO ESPORTIVO NAUTICO GUARAPIRANGA;CENTRO ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;PISCINA;1
272;CENTRO ESPORTIVO NAUTICO GUARAPIRANGA;CENTRO ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;TANQUE DE NAUTIMODELISMO;1
273;CENTRO ESPORTIVO NAUTICO GUARAPIRANGA;CENTRO ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;PISTA DE COOPER;1
274;CENTRO ESPORTIVO NAUTICO GUARAPIRANGA;CENTRO ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;QUADRA POLIESPORTIVA;2
275;CENTRO ESPORTIVO NAUTICO GUARAPIRANGA;CENTRO ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;QUADRA DE TENIS;1
276;CENTRO ESPORTIVO, RECREATIVO E EDUCATIVO DO TRABALHADOR; CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;MBOI MIRIM;JARDIM ANGELA;PISCINA SEMI OLIMPICA;1
277;CENTRO ESPORTIVO, RECREATIVO E EDUCATIVO DO TRABALHADOR; CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;ARICANDUVA/FORMOSA;VILA FORMOSA;CAMPO DE FUTEBOL;2
278;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;GINASIO POLIESPORTIVO;4
279;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;PLAY GROUND;2
280;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;PISTA DE ATLETISMO;1
281;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;SALA MULTIUSO;1
282;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;SALA MULTIUSO 2;1
283;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;SALA DE BRINQUEDOTECA;1
284;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;AREA LIVRE;1
285;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;QUADRA POLIESPORTIVA;1
286;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;QUADRA DE BASQUETE;1
287;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;MINIQUADRA DE ESPORTES;1
288;CENTRO ESPORTIVO TIETE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SE;SE;QUADRA DE TENIS;1
289;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;QUADRA DE HANDEBOL;1
290;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;CAMPO DE FUTEBOL;2
291;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;GINASIO POLIESPORTIVO;1
292;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;QUADRA DE BASQUETE;1
293;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;SALA MULTIUSO;10
294;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;QUADRA DE VOLEIBOL;1
295;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;PISTA DE ATLETISMO;1
296;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;PISCINA;1
297;CENTRO OLIMPICO DE TREINAMENTO E PESQUISA;CENTRO OLIMPICO DE TREINAMENTO;DIRETA;ATIVA;VILA MARIANA;MOEMA;CAMPO DE SOCIETY;1
298;ESTADIO MUNICIPAL JACK MARIN;ESTADIO;DIRETA;ATIVA;SE;LIBERDADE;SALA MULTIUSO;3
299;ESTADIO MUNICIPAL JACK MARIN;ESTADIO;DIRETA;ATIVA;SE;LIBERDADE;CAMPO DE FUTEBOL;1
300;ESTADIO MUNICIPAL JACK MARIN;ESTADIO;DIRETA;ATIVA;SE;LIBERDADE;QUADRA POLIESPORTIVA;2
301;ESTADIO MUNICIPAL JACK MARIN;ESTADIO;DIRETA;ATIVA;SE;LIBERDADE;SALA MULTIUSO 2;1
302;ESTADIO MUNICIPAL MIE NISHI;ESTADIO;DIRETA;ATIVA;SE;BOM RETIRO;SALA MULTIUSO 2;1
303;ESTADIO MUNICIPAL MIE NISHI;ESTADIO;DIRETA;ATIVA;SE;BOM RETIRO;SALA MULTIUSO 3;1
304;ESTADIO MUNICIPAL MIE NISHI;ESTADIO;DIRETA;ATIVA;SE;BOM RETIRO;CAMPO DE GATEBAL;3
305;ESTADIO MUNICIPAL MIE NISHI;ESTADIO;DIRETA;ATIVA;SE;BOM RETIRO;SALA MULTIUSO;3
306;ESTADIO MUNICIPAL MIE NISHI;ESTADIO;DIRETA;ATIVA;SE;BOM RETIRO;GINASIO POLIESPORTIVO;1
307;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;SALA MULTIUSO;1
308;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;QUADRA DE TENIS;1
309;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;PISCINA;1
310;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;SALA MULTIUSO 2;1
311;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;ESTACAO DE EXERCICIOS;1
312;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;CAMPO DE FUTEBOL;1
313;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;AREA LIVRE;1
314;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;GINASIO POLIESPORTIVO;2
315;ESTADIO MUNICIPAL PAULO MACHADO DE CARVALHO;ESTADIO;DIRETA;ATIVA;SE;SANTA CECILIA;QUADRA POLIESPORTIVA;1
316;GINASIO ESPORTIVO DARCY REIS;GINASIO DE ESPORTES;DIRETA;ATIVA;VILA MARIA/VILA GUILHERME;VILA GUILHERME;SALA MULTIUSO;3
317;GINASIO ESPORTIVO DARCY REIS;GINASIO DE ESPORTES;DIRETA;ATIVA;VILA MARIA/VILA GUILHERME;VILA GUILHERME;GINASIO POLIESPORTIVO;1
318;GINASIO ESPORTIVO DARCY REIS;GINASIO DE ESPORTES;DIRETA;ATIVA;VILA MARIA/VILA GUILHERME;VILA GUILHERME;SALA MULTIUSO 2;1
319;MINI BALNEARIO IRMAOS PAOLILLO;MINI BALNEARIO;DIRETA;ATIVA;TREMEMBE/JACANA;JACANA;SALA DE BRINQUEDOTECA;1
320;MINI BALNEARIO IRMAOS PAOLILLO;MINI BALNEARIO;DIRETA;ATIVA;TREMEMBE/JACANA;JACANA;SALA MULTIUSO;4
321;MINI BALNEARIO IRMAOS PAOLILLO;MINI BALNEARIO;DIRETA;ATIVA;TREMEMBE/JACANA;JACANA;PISCINA;1
322;MINI BALNEARIO IRMAOS PAOLILLO;MINI BALNEARIO;DIRETA;ATIVA;TREMEMBE/JACANA;JACANA;AREA LIVRE;1
323;MINI BALNEARIO IRMAOS PAOLILLO;MINI BALNEARIO;DIRETA;ATIVA;TREMEMBE/JACANA;JACANA;QUADRA POLIESPORTIVA;1
324; MINI BALNEARIO  MARECHAL ESPIRIDIAO ROSA;MINI BALNEARIO;DIRETA;ATIVA;LAPA;JAGUARE;ESTACAO DE EXERCICIOS;1
325; MINI BALNEARIO  MARECHAL ESPIRIDIAO ROSA;MINI BALNEARIO;DIRETA;ATIVA;LAPA;JAGUARE;SALA MULTIUSO;2
326; MINI BALNEARIO  MARECHAL ESPIRIDIAO ROSA;MINI BALNEARIO;DIRETA;ATIVA;LAPA;JAGUARE;PISCINA;2
327; MINI BALNEARIO  MARECHAL ESPIRIDIAO ROSA;MINI BALNEARIO;DIRETA;ATIVA;LAPA;JAGUARE;SALA DE BRINQUEDOTECA;1
328; MINI BALNEARIO  MARECHAL ESPIRIDIAO ROSA;MINI BALNEARIO;DIRETA;ATIVA;LAPA;JAGUARE;QUADRA POLIESPORTIVA;1
329;MINI BALNEARIO ANTONIO CARLOS DE ABREU SODRE;MINI BALNEARIO;DIRETA;ATIVA;SANTO AMARO;CAMPO GRANDE;SALA MULTIUSO 2;1
330;MINI BALNEARIO ANTONIO CARLOS DE ABREU SODRE;MINI BALNEARIO;DIRETA;ATIVA;SANTO AMARO;CAMPO GRANDE;PISCINA;1
331;MINI BALNEARIO ANTONIO CARLOS DE ABREU SODRE;MINI BALNEARIO;DIRETA;ATIVA;SANTO AMARO;CAMPO GRANDE;SALA MULTIUSO;1
332;MINI BALNEARIO COMANDANTE GARCIA DAVILA;MINI BALNEARIO;DIRETA;ATIVA;CASA VERDE;CASA VERDE;SALA MULTIUSO 3;1
333;MINI BALNEARIO COMANDANTE GARCIA DAVILA;MINI BALNEARIO;DIRETA;ATIVA;CASA VERDE;CASA VERDE;SALA MULTIUSO;3
334;MINI BALNEARIO COMANDANTE GARCIA DAVILA;MINI BALNEARIO;DIRETA;ATIVA;CASA VERDE;CASA VERDE;SALA MULTIUSO 2;1
335;MINI BALNEARIO COMANDANTE GARCIA DAVILA;MINI BALNEARIO;DIRETA;ATIVA;CASA VERDE;CASA VERDE;QUADRA POLIESPORTIVA;1
336;MINI BALNEARIO COMANDANTE GARCIA DAVILA;MINI BALNEARIO;DIRETA;ATIVA;CASA VERDE;CASA VERDE;GINASIO POLIESPORTIVO;1
337;MINI BALNEARIO COMANDANTE GARCIA DAVILA;MINI BALNEARIO;DIRETA;ATIVA;CASA VERDE;CASA VERDE;PISCINA;2
338;MINI BALNEARIO COMANDANTE GARCIA DAVILA;MINI BALNEARIO;DIRETA;ATIVA;CASA VERDE;CASA VERDE;ESTACAO DE EXERCICIOS;1
339;MINI BALNEARIO COMANDANTE GASTAO MOUTINHO;MINI BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;MANDAQUI;ESTACAO DE EXERCICIOS;1
340;MINI BALNEARIO COMANDANTE GASTAO MOUTINHO;MINI BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;MANDAQUI;PISCINA;1
341;MINI BALNEARIO COMANDANTE GASTAO MOUTINHO;MINI BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;MANDAQUI;SALA MULTIUSO;1
342;MINI BALNEARIO JOSE MARIA WHITAKER;MINI BALNEARIO;DIRETA;ATIVA;SAO MATEUS;SAO MATEUS;PLAY GROUND;1
343;MINI BALNEARIO JOSE MARIA WHITAKER;MINI BALNEARIO;DIRETA;ATIVA;SAO MATEUS;SAO MATEUS;PISCINA;1
344;MINI BALNEARIO JOSE MARIA WHITAKER;MINI BALNEARIO;DIRETA;ATIVA;SAO MATEUS;SAO MATEUS;MINIQUADRA DE ESPORTES;1
345;MINI BALNEARIO JOSE MARIA WHITAKER;MINI BALNEARIO;DIRETA;ATIVA;SAO MATEUS;SAO MATEUS;QUADRA POLIESPORTIVA;1
346;MINI BALNEARIO JOSE MARIA WHITAKER;MINI BALNEARIO;DIRETA;ATIVA;CAMPO LIMPO;CAMPO LIMPO;PISCINA;1
347;MINI BALNEARIO MINISTRO SINESIO ROCHA;MINI BALNEARIO;DIRETA;ATIVA;CAMPO LIMPO;CAMPO LIMPO;SALA MULTIUSO 2;2
348;MINI BALNEARIO MINISTRO SINESIO ROCHA;MINI BALNEARIO;DIRETA;ATIVA;CAMPO LIMPO;CAMPO LIMPO;SALA MULTIUSO;3
349;MINI BALNEARIO MINISTRO SINESIO ROCHA;MINI BALNEARIO;DIRETA;ATIVA;CAMPO LIMPO;CAMPO LIMPO;PLAY GROUND;1
